active time,percentage players,percent A,percent B
0,1,1,1
60,0.8233151184,0.8222996516,0.8301158301
120,0.6120218579,0.6167247387,0.61003861
180,0.4663023679,0.4738675958,0.4594594595
240,0.3752276867,0.3763066202,0.3783783784
300,0.3041894353,0.2891986063,0.3243243243
360,0.2586520947,0.2369337979,0.2857142857
420,0.2094717668,0.1951219512,0.2277992278
480,0.1766848816,0.1637630662,0.1930501931
540,0.1420765027,0.1254355401,0.1621621622
600,0.1129326047,0.1010452962,0.1274131274
660,0.09289617486,0.08013937282,0.1081081081
720,0.07285974499,0.06620209059,0.08108108108
780,0.05646630237,0.05574912892,0.05791505792
840,0.04189435337,0.04181184669,0.04247104247
900,0.02732240437,0.0243902439,0.03088803089
960,0.02550091075,0.0243902439,0.02702702703
1020,0.02367941712,0.0243902439,0.02316602317
1080,0.0218579235,0.02090592334,0.02316602317
1140,0.01821493625,0.01742160279,0.01930501931
1200,0.01639344262,0.01742160279,0.01544401544
1260,0.014571949,0.01393728223,0.01544401544
1320,0.01092896175,0.01045296167,0.01158301158
1380,0.007285974499,0.01045296167,0.003861003861
1440,0.007285974499,0.01045296167,0.003861003861
1500,0.005464480874,0.006968641115,0.003861003861
1560,0.00364298725,0.006968641115,0
1620,0.001821493625,0.003484320557,0
1680,0.001821493625,0.003484320557,0
1740,0.001821493625,0.003484320557,0
1800,0.001821493625,0.003484320557,0
1860,0.001821493625,0.003484320557,0
1920,0.001821493625,0.003484320557,0
1980,0.001821493625,0.003484320557,0
2040,0.001821493625,0.003484320557,0
2100,0.001821493625,0.003484320557,0
2160,0.001821493625,0.003484320557,0
2220,0.001821493625,0.003484320557,0
2280,0,0,0
