user_id,num_levels_completed,unique_levels_completed,returns,total_time_played,active_time,abtest_value
03AtFCRHWm59ytf8yvX9EDKq1M3jYJqYM1ssDj9A,5,5,0,180,180,2
04qWy5CyfqFSpUwCPL9WmE5vOS62TuAUz1Q76tGm,1,1,0,60,60,2
0dfoQKZWavKtiXd0Tk0RbZepDvbAEmOFz44qP3mZ,6,6,0,120,120,2
0EXZgoyZbvUY9UjahrOqSclEu5Hca9BaOz94YI39,7,7,0,180,180,2
0jmEyLdlpJLM2M7k1rN4gl7r2HKtHpEIJ0mhMADb,6,6,0,300,300,1
0OPJ9P82qdnCaadSYtS6JzcgzwURvmwvbmflbonB,9,9,0,270,270,1
0TJmyk2aYhhW3gH9MwbnzYnxlAQtQrpQl9cTtf4r,7,7,0,180,180,1
0Xi2xWvxyJIVP3Ma0lZgDJZQhGZOs9jt6BvDy1b6,6,6,0,750,540,2
19EVw4B4q9k9GE0L0b2rqi9Js9ITOuEPDjLaomeO,1,1,0,86100,180,1
1gYXWm3PANSI0REHv7aNgj4Tv6gWqWvrdupaRsZr,6,6,0,180,180,1
1HRfeuN1p5QaQckOz5yH3yveokw0LFzNnr3CWQDl,8,8,0,270,270,1
1jtSBnI2OX8PmG37fakd39rFCs2vTnQUHkNiIvlw,12,12,0,810,690,2
1QQE3rRNmM6kTViZJUbixlWzxGhB3J74AYJDqArN,9,9,0,300,300,2
1vUVVH5ORawgd47xZWqlJFqsmWHWdnceS7aOOfCF,1,1,0,30,30,2
1W8a8WO4znlna2HWHFmfd58PhMk62SG3OPdWL21l,0,0,0,30,30,2
1xzbOMF4eh8AUnNyf8QQNIbVp1R1L0ENydYm0Eqe,0,0,0,60,60,1
23IoMnJue8vzUnYwUdTE0KiyVYxUyTsAWbZJyJdM,11,11,1,690,690,1
25Pzv38LHmNSsOGpuSg8FbNfsmeCK9pNefnKjvv0,1,1,0,30,30,1
26O7U4gLkcQfRgfMFAThAXeiY307hv6kBVrwZHhk,6,6,0,90,90,1
2bcL9pPdjnASa36VVmfC4LF1WTRsKPzM1Lyaaoou,6,6,0,210,180,2
2Iwo1yb03N91PNCjb0GjXbQNdqZzVnfX6Mm7kx8n,1,1,0,60,60,2
2l4KnNPLOPG0y6LwUdHcsVFpd4meh4qjqu3OhTz6,0,0,0,90,90,2
2LX5svFBr4EQL9Zfu2rw4jHPcBkst39vO7BhCgT3,7,7,0,240,240,1
2oDPxJm25VQeuHzbvqwh0QG7AXHHZ9B2xfS5Ye83,1,1,0,90,90,1
2pfwVTxoVXi5FklR4lWf5cSAjLQRqvltUBZPuxeq,1,1,1,120,90,2
2PNC6BNjruWbLtM1vZc6ekXrUTIVVypYncAuNnNf,6,6,0,150,150,2
2R2ZznsK4YDF5B4khFbgDzvf9vb4bWVdNXdnlG7p,2,2,0,90,90,1
2vNwRjPAFFOo6USL3s3F1il3Yuw3BunE0bbSv0ta,6,6,0,120,120,1
2w5OdKn8cnt866TkeYxF5nRiNZobCaTEHYtUJR3V,7,7,0,25230,600,2
3B7dafGbqDEZo1bDjXUncnTpCmt19ypd9wqjL7vc,0,0,0,30,30,1
3c7fo9j5sOlTpOb0Rnt2nYDdMnseLX4Pab4zloFO,8,8,0,240,240,1
3CcIsTbSUxHSUsIIgJdD3Eq4dc7Qtvzw7MeAFqsz,4,4,0,210,210,1
3cqpYlCmW7D4CgdJPAFQoKpEJsnFJkKNxbdwxPSt,0,0,0,60,60,2
3gHB4TH3yOfh5Mhsl3xHJFriZFdfA0oEg6fk0Wny,5,5,0,150,150,2
3kwyV16hyc7cVN2Yy7XDXBLhP1bw2uN5OjDKlJ1T,6,6,0,270,270,1
3mpCAXiehdi93jzjxcgZjsvHfEeUEhIHE7kf4Ctm,5,5,0,120,120,1
3NUBuaXMsNzvJ98DxdIc9SjMWYkLDMBGAvi5GgS8,3,3,0,30,30,2
3OwDhf6IgcPZXA36kq62m3WuHZpq0TG4HcHZsNHI,7,7,0,150,150,2
3pnC0EOf7zEEoCNxp8SlZBVfG4uF9USdkfPkUDz1,0,0,0,0,0,2
3qoHzUatSzmXdIdZzh3wLRC996yC2Vt5mRNWMYpF,6,6,0,240,240,1
3uvqMai01LSFzwAbb1nAvfNXua5RhDBl86LUg4Ui,2,2,0,180,180,2
3wOW8HFpGUzWfElTpdnFCcMGQ0cWYDp19dYiVDHB,7,7,0,270,270,2
3x7QI1wtwvY42POZNT0OfZdwGjI5WdN0KURtVnXr,2,2,0,60,60,1
41cPhrqeVxg05zWTWRZIZDvYBZH0M44R5gHmI7AE,4,4,0,90,90,1
46a07SOdxOty51KLcA1A44UAAK7M2oF7uP7CIWPg,2,2,0,90,90,1
477aZ2J49JilyC3jOND9RMy8fapIuIzzQHJPJtUS,7,7,0,300,300,1
49FncG4IGhmm8eQpRhs7TPeCLGQaqoJuypRK5WtM,2,2,0,120,120,2
4cgVKelXsYvnNoctYDVlHFPkH3mTRk4VxlRhzce2,9,9,0,450,450,2
4CrAu4ocOUtKpe1oDXeeqKLUhNxdyyZDaqeFuCRi,6,6,0,240,240,2
4F9gyaxV9o5Y7NzyvFbP5sIVSgQWcLQhq0xZa4Uj,3,3,0,60,60,1
4KMB5sV4yHhipfuR2OmGtcU3DR6KjOZozLZEdVJM,3,3,0,60,60,2
4MzmyqJ8kxDlpYGOiOedEitTL7j2bKufx4B5ukdO,11,11,1,1650,870,1
4POPEDYsqVQoFMFKQImrgf1izSCQaPVeEK3io2LO,1,1,0,90,90,1
4r5358w7CvXNVxx3lhvJUoIrIT0CNF0R76VcfrjR,6,6,0,180,180,1
4rTWUYZWAiFIp2Blt0PWLzCuCG4KRRaWj4Se3SaD,6,6,0,210,210,2
4s0P4GVGpxhX1nmsHxW4t2gnjyrcwHJAaKpfqlVP,6,6,0,210,210,2
4tkuJsqadPiI4rhhF6Iv6LgUVoFpqnTuQeZzHpKV,9,9,0,360,360,2
4v68SsM7Oih93aWKcgsYCwJLt8z0MyER4LZWdL42,5,5,0,90,90,2
5BwfnoSdxK3jTaDnFjfbvsldd5vo5MXbnuqKTiXq,7,7,0,2310,450,1
5FhjEWSm3FCzVH4UMlS7RAt8nOKvk55qKmJojCLm,9,8,2,270,270,1
5hJ42QbExEZ4EBpmfQsCB8PCbSGnlx8qPRvSIGwf,1,1,0,30,30,1
5Te2H9RRt9uEhXWlA84oDPLKHUXOhtMmn0p4ahWE,0,0,0,0,0,2
5vL0NpmjQc4SBymlV4ROfkjU0ln3FTUKoGLc57wV,0,0,0,30,30,1
5ZEupbAkhUwp0ETthLMKaH5QIGMbkGSqGwU6HuqZ,5,5,0,90,90,1
64l1nmYhvBeU2tVSVrO3rDKj8EtAtfWzjhBHDAY9,6,6,0,150,150,2
64tHeI4wTVOON5wr5V6fyk5taELXUtk1yOJMwNiq,7,7,0,270,270,1
66H7veZOef3ObQKOGLj1mS1DpO8x3oEavlh0zgPO,6,6,0,150,150,2
68psLiOxL3hnNFxaZsmSz1Ogn7muGX6M5wfRO3oz,3,3,0,90,90,1
69MPh6nqMsgqXnxo8xF6dLBccVGu3NaaXWZf3mFQ,11,11,0,390,390,1
6dZ4XYE9P3L20yptg8xOd5435iIoSqlZEl3BjIK8,0,0,0,0,0,1
6EDEKSF2JegfTP7DHkT1qCVAoT8j2k49ZIOKAtMj,3,3,0,60,60,1
6iHEoGgpzhkmPKqKb4vgMMVQ46KvypLFIsj79zxJ,1,1,0,60,60,2
6lb3FZQNa8nVEYavcMruPp3zRPUAE4RLq2O52FTd,5,5,0,449910,390,2
6mh1OXHaSyDrA8CbSxyh6ncjT0rEXPF3bX40UMaN,6,6,0,120,120,1
6Q5YoStqZAqdFyFGVysf2AUMQrBaOLvUCBT1tmrs,3,3,0,300,270,1
6QRXEcVTxdOb4WlMZ0YC3H2QWNpmHGAOwrLbEH4c,2,2,0,90,90,2
6YCxrdsFG1icn9mZsKoDEZKQC0O2vxRCvu9WIBCo,13,13,1,570,570,1
72MKcgYCG3wm0ZoK9YoZtsotsOHLtEzAHmkUCjxi,7,7,0,120,120,1
7A0tDPpTEHa6qGtI0HYYkrGbWX0FJcEQMFkpvJj9,7,7,0,210,210,1
7AqWlj9wLb0LYgB3HXaFqYaUD3Yc2bU9Lk66DgDo,7,7,0,210,210,2
7cUK2yxZxiAVBF08vN8zjIyWtXLhrDTzQNkTmRSU,2,2,0,120,120,2
7dFU8AxaYVlQPXY5BMmaCbl6gVbvDjGKwlFFWdPV,15,13,5,1530,1500,2
7hTgRXDdzDAO69E3BeuL955n1MGJHKXO2R5TOI6n,0,0,1,0,0,1
7nHnrbH8lY63eAux1KV0QijCBQ0fIXSQkzdMLUU6,1,1,0,60,60,1
7Th02HDlznAbGLz8hkwXIUl91Q6voJhvCywEg90P,6,6,0,510,510,2
7updCo6zMniBv7uf9M4sBoOoGikxrUAypZM1nTAa,0,0,0,30,30,1
7Z6BQMGYi1p3wi9tfKsAECB2Kn1dTzJ0zQCqCjoV,4,4,0,180,180,1
8GyJiXmo5yMKigyH3rpyYE2FZsWyg0hoGQ7YNumS,11,11,1,600,540,2
8pgUWUhxTUsY0vjJeDKXsFKjmQx4uhUDGaxC5P9Y,0,0,0,510,90,2
8RtKRl8DHadOjIUuJFVOKqHgyQpyOWuWNYGFjPj1,0,0,0,30,30,1
8S3yvtxgJ5MThe8LAx5W8ikqjBESW1E5TIDpcbFV,5,5,0,120,120,2
8taVp4uwPuQ7U9fDqt9iYbC5ENIoX356wf2Wkwt9,0,0,0,30,30,2
8vNPZPA7bXCqxfexyZo6qeXXOFg0z2uIyhxx68Fi,1,1,0,120,90,2
8xzVF0A4yHOVYHNi543skSR5BtiLPUJXriS7jtbS,9,9,0,660,570,1
9BNXw8LzcThY2lMcHkDxC9RpLRWv4ZudAib7rWGD,12,12,0,660,660,2
